bottomdark_content,image,bottomdark_links,link,bottomlight_value_2,bottomlight_value_3,bottomlight_number/_source,bottomdark_value,bottomlight_value_1,bottomdark_content_numbers/_source,link/_text,link/_source,bottomdark_content_numbers,bottomdark_links/_text,bottomdark_links/_source,bottomlight_number,pageUrl
"3389 Fairfield Ave Bridgeport, Connecticut, 06605-3228 United States phone: (203) 253-9423 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Bridgeport&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.aspetuckbrewlab.com/,http://www.beeradvocate.com/beer/profile/39808/,-,-,10,[ Brewery ],-,3389; 06605; 3228; 203; 253; 9423,Aspetuck Brew Lab,/beer/profile/39808/,3389; 6605; 3228; 203; 253; 9423,Bridgeport; Connecticut; United States; official website,/place/list/?city=Bridgeport&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,10,http://www.beeradvocate.com/place/list/?start=0&c_id=US&s_id=CT&brewery=Y&sort=name
"1296 Blue Hills Ave Ste A Bloomfield, Connecticut, 06002-5312 United States phone: (860) 242-1793 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Bloomfield&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://backeastbrewing.com/,http://www.beeradvocate.com/beer/profile/29556/,21,3.83,17,"[ Brewery, Bar ]",3.99,1296; 06002; 5312; 860; 242; 1793,Back East Brewing Company,/beer/profile/29556/,1296; 6002; 5312; 860; 242; 1793,Bloomfield; Connecticut; United States; official website,/place/list/?city=Bloomfield&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,17,http://www.beeradvocate.com/place/list/?start=0&c_id=US&s_id=CT&brewery=Y&sort=name
"307 Greens Farms Rd Westport, Connecticut, 06880-6227 United States official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Westport&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.beaverbeer.com,http://www.beeradvocate.com/beer/profile/27742/,-,3.6,4,[ Brewery ],-,307; 06880; 6227,Beaver Beer Company,/beer/profile/27742/,307; 6880; 6227,Westport; Connecticut; United States; official website,/place/list/?city=Westport&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,4,http://www.beeradvocate.com/place/list/?start=0&c_id=US&s_id=CT&brewery=Y&sort=name
"115 Hurley Rd Bldg 9A Oxford, Connecticut, 06478-1037 United States official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Oxford&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.blackhogbrewing.com/,http://www.beeradvocate.com/beer/profile/34658/,35,3.81,30,"[ Brewery, Bar ]",4.01,115; 9; 06478; 1037,Black Hog Brewing Co.,/beer/profile/34658/,115; 9; 6478; 1037,Oxford; Connecticut; United States; official website,/place/list/?city=Oxford&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,30,http://www.beeradvocate.com/place/list/?start=0&c_id=US&s_id=CT&brewery=Y&sort=name
"21A Furnace St Danielson, Connecticut, 06239-3040 United States official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Danielson&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.blackpondbrews.com,http://www.beeradvocate.com/beer/profile/37095/,-,3.98,16,[ Brewery ],-,21; 06239; 3040,Black Pond Brews,/beer/profile/37095/,21; 6239; 3040,Danielson; Connecticut; United States; official website,/place/list/?city=Danielson&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,16,http://www.beeradvocate.com/place/list/?start=0&c_id=US&s_id=CT&brewery=Y&sort=name
"2 North Rd East Windsor, Connecticut, 06088-9516 United States phone: (860) 623-1000 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=East+Windsor&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://broadbrookbrewing.com/home.htm,http://www.beeradvocate.com/beer/profile/32880/,18,3.56,14,"[ Brewery, Bar ]",3.78,2; 06088; 9516; 860; 623; 1000,Broad Brook Brewing Company,/beer/profile/32880/,2; 6088; 9516; 860; 623; 1000,East Windsor; Connecticut; United States; official website,/place/list/?city=East+Windsor&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,14,http://www.beeradvocate.com/place/list/?start=0&c_id=US&s_id=CT&brewery=Y&sort=name
"1 Smith Ridge Rd New Canaan, Connecticut, 06840-4144 United States phone: (203) 972-9058 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=New+Canaan&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://charteroakbrewing.com/,http://www.beeradvocate.com/beer/profile/29398/,-,3.77,13,[ Brewery ],-,1; 06840; 4144; 203; 972; 9058,Charter Oak Brewing Co.,/beer/profile/29398/,1; 6840; 4144; 203; 972; 9058,New Canaan; Connecticut; United States; official website,/place/list/?city=New+Canaan&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,13,http://www.beeradvocate.com/place/list/?start=0&c_id=US&s_id=CT&brewery=Y&sort=name
"942 Main St Hartford, Connecticut, 06103-1214 United States phone: (860) 525-1600 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Hartford&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.citysteambrewerycafe.com/,http://www.beeradvocate.com/beer/profile/556/,102,3.8,27,"[ Brewery, Bar, Eatery ]",3.84,942; 06103; 1214; 860; 525; 1600,City Steam Brewery Café,/beer/profile/556/,942; 6103; 1214; 860; 525; 1600,Hartford; Connecticut; United States; official website,/place/list/?city=Hartford&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,27,http://www.beeradvocate.com/place/list/?start=0&c_id=US&s_id=CT&brewery=Y&sort=name
"6 Industrial Dr Ellington, Connecticut, 06029-2632 United States official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Ellington&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.coldcreekbrewery.com/,http://www.beeradvocate.com/beer/profile/42212/,-,3.75,8,[ Brewery ],-,6; 06029; 2632,Cold Creek Brewery,/beer/profile/42212/,6; 6029; 2632,Ellington; Connecticut; United States; official website,/place/list/?city=Ellington&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,8,http://www.beeradvocate.com/place/list/?start=0&c_id=US&s_id=CT&brewery=Y&sort=name
"100 Mechanic St Ste 22 Pawcatuck, Connecticut, 06379-2163 United States phone: (860) 599-8213 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Pawcatuck&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.cottrellbrewing.com/,http://www.beeradvocate.com/beer/profile/61/,-,3.58,16,[ Brewery ],-,100; 22; 06379; 2163; 860; 599; 8213,Cottrell Brewing Co.,/beer/profile/61/,100; 22; 6379; 2163; 860; 599; 8213,Pawcatuck; Connecticut; United States; official website,/place/list/?city=Pawcatuck&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,16,http://www.beeradvocate.com/place/list/?start=0&c_id=US&s_id=CT&brewery=Y&sort=name
"59 School Ground Rd Ste 10 Branford, Connecticut, 06405-2868 United States phone: (203) 208-2213 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Branford&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.duvig.com/,http://www.beeradvocate.com/beer/profile/34616/,6,3.86,16,"[ Brewery, Bar ]",3.98,59; 10; 06405; 2868; 203; 208; 2213,DuVig Brewing Co.,/beer/profile/34616/,59; 10; 6405; 2868; 203; 208; 2213,Branford; Connecticut; United States; official website,/place/list/?city=Branford&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,16,http://www.beeradvocate.com/place/list/?start=0&c_id=US&s_id=CT&brewery=Y&sort=name
"16 Tobey Rd Bloomfield, Connecticut, 06002-3522 United States official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Bloomfield&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://dyckmanbeerco.com/,http://www.beeradvocate.com/beer/profile/34669/,-,4.07,4,[ Brewery ],-,16; 06002; 3522,Dyckman Beer Co.,/beer/profile/34669/,16; 6002; 3522,Bloomfield; Connecticut; United States; official website,/place/list/?city=Bloomfield&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,4,http://www.beeradvocate.com/place/list/?start=0&c_id=US&s_id=CT&brewery=Y&sort=name
"315 Peck St Bldg 6E Ste C1 Fair Haven, Connecticut, 06513-2933 United States phone: (203) 843-7039 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Fair+Haven&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.erectorbeer.com/,http://www.beeradvocate.com/beer/profile/37621/,-,-,3,[ Brewery ],-,315; 6; 06513; 2933; 203; 843; 7039,Erector Brewing Collective,/beer/profile/37621/,315; 6; 6513; 2933; 203; 843; 7039,Fair Haven; Connecticut; United States; official website,/place/list/?city=Fair+Haven&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,3,http://www.beeradvocate.com/place/list/?start=0&c_id=US&s_id=CT&brewery=Y&sort=name
